"index","Season","Slot","Strongseed","Weakseed","Round"
2050,2017,"W11","W11a","W11b",1
2051,2017,"W16","W16a","W16b",1
2052,2017,"Y16","Y16a","Y16b",1
2053,2017,"Z11","Z11a","Z11b",1
2054,2017,"R1W1","W01","W16",1
2055,2017,"R1W2","W02","W15",1
2056,2017,"R1W3","W03","W14",1
2057,2017,"R1W4","W04","W13",1
2058,2017,"R1W5","W05","W12",1
2059,2017,"R1W6","W06","W11",1
2060,2017,"R1W7","W07","W10",1
2061,2017,"R1W8","W08","W09",1
2062,2017,"R1X1","X01","X16",1
2063,2017,"R1X2","X02","X15",1
2064,2017,"R1X3","X03","X14",1
2065,2017,"R1X4","X04","X13",1
2066,2017,"R1X5","X05","X12",1
2067,2017,"R1X6","X06","X11",1
2068,2017,"R1X7","X07","X10",1
2069,2017,"R1X8","X08","X09",1
2070,2017,"R1Y1","Y01","Y16",1
2071,2017,"R1Y2","Y02","Y15",1
2072,2017,"R1Y3","Y03","Y14",1
2073,2017,"R1Y4","Y04","Y13",1
2074,2017,"R1Y5","Y05","Y12",1
2075,2017,"R1Y6","Y06","Y11",1
2076,2017,"R1Y7","Y07","Y10",1
2077,2017,"R1Y8","Y08","Y09",1
2078,2017,"R1Z1","Z01","Z16",1
2079,2017,"R1Z2","Z02","Z15",1
2080,2017,"R1Z3","Z03","Z14",1
2081,2017,"R1Z4","Z04","Z13",1
2082,2017,"R1Z5","Z05","Z12",1
2083,2017,"R1Z6","Z06","Z11",1
2084,2017,"R1Z7","Z07","Z10",1
2085,2017,"R1Z8","Z08","Z09",1
2086,2017,"R2W1","R1W1","R1W8",2
2087,2017,"R2W2","R1W2","R1W7",2
2088,2017,"R2W3","R1W3","R1W6",2
2089,2017,"R2W4","R1W4","R1W5",2
2090,2017,"R2X1","R1X1","R1X8",2
2091,2017,"R2X2","R1X2","R1X7",2
2092,2017,"R2X3","R1X3","R1X6",2
2093,2017,"R2X4","R1X4","R1X5",2
2094,2017,"R2Y1","R1Y1","R1Y8",2
2095,2017,"R2Y2","R1Y2","R1Y7",2
2096,2017,"R2Y3","R1Y3","R1Y6",2
2097,2017,"R2Y4","R1Y4","R1Y5",2
2098,2017,"R2Z1","R1Z1","R1Z8",2
2099,2017,"R2Z2","R1Z2","R1Z7",2
2100,2017,"R2Z3","R1Z3","R1Z6",2
2101,2017,"R2Z4","R1Z4","R1Z5",2
2102,2017,"R3W1","R2W1","R2W4",3
2103,2017,"R3W2","R2W2","R2W3",3
2104,2017,"R3X1","R2X1","R2X4",3
2105,2017,"R3X2","R2X2","R2X3",3
2106,2017,"R3Y1","R2Y1","R2Y4",3
2107,2017,"R3Y2","R2Y2","R2Y3",3
2108,2017,"R3Z1","R2Z1","R2Z4",3
2109,2017,"R3Z2","R2Z2","R2Z3",3
2110,2017,"R4W1","R3W1","R3W2",4
2111,2017,"R4X1","R3X1","R3X2",4
2112,2017,"R4Y1","R3Y1","R3Y2",4
2113,2017,"R4Z1","R3Z1","R3Z2",4
2114,2017,"R5WX","R4W1","R4X1",5
2115,2017,"R5YZ","R4Y1","R4Z1",5
2116,2017,"R6CH","R5WX","R5YZ",6
